unit,count
tA/ + Ad,416
é + t,344
á + t,317
és + é,282
t + a,274
ek + et,253
t + e,248
ás + a,235
ás + á,224
és + e,220
ok + at,210
ás + t,169
Ad + j]=té,165
j]=té + k,161
Ad + j]=tá,156
és + t,156
j]=tá + k,154
ez + és,146
ás + ok,137
t + em,133
é + nek,128
é + ben,127
é + re,126
á + ban,121
és + ek,121
á + nak,114
ár + a,113
ő + k,112
ás + i,110
ít + és,107
ít + ás,105
és + i,104
t + ak,100
ó + k,99
já + t,97
t + ek,96
hasz + nál,94
é + vel,94
k + at,93
ik + us,92
ül + et,92
es + en,90
ás + ár,89
ál + is,88
ott + a,86
ei + t,85
es + ség,85
ad + ás,82
ek + kel,81
é + n,81
ép + ít,81
oz + ás,79
kap + csol,78
tá + k,77
et + i,73
á + n,73
kész + ít,70
or + szág,69
ség + é,67
at + ok,66
ez + ő,66
ok + kal,65
et + é,64
á + val,64
ít + ett,64
ai + t,63
köv + et,63
vál + aszt,63
Ad + j]=ot,62
ad + ó,62
j]=ot + tá,62
ez + ett,61
szol + gál,61
ség + et,61
tör + tén,61
at + koz,60
s + ít,60
ség + e,60
t + am,60
ül + t,60
dolg + oz,57
om + ány,57
ál + koz,57
ség + ek,56
ás + ra,56
ez + t,55
at + á,54
et + kez,54
szer + ű,54
tat + ás,54
és + re,54
et + t,53
fej + ez,53
os + an,52
os + ság,52
er + ed,51
rend + ez,51
szem + ély,51
ít + ott,51
biz + ony,50
ír + ás,50
gon + dol,49
ség + es,49
tal + ál,49
őd + és,49
erő + s,48
rend + szer,48
az + ás,47
em + ény,47
et + ek,47
oz + at,47
ó + ja,47
ó + s,47
ő + je,47
et + és,46
hely + ez,46
ki + ad,46
kész + ül,46
ott + ak,46
oz + ó,46
vez + et,46
állít + ás,46
aj + don,45
ter + ül,45
tul + aj,45
ő + i,45
el + len,44
et + et,44
ő + s,44
ez + ni,43
já + ban,43
k + et,43
nev + ez,43
osz + tály,43
ság + ot,43
tart + ás,43
és + sel,43
ész + et,43
ó + t,43
es + ebb,42
et + len,42
i + t,42
min + den,42
terv + ez,42
tén + et,42
áb + an,42
ed + és,41
hal + lgat,41
koz + ás,41
lal + koz,41
oz + ott,41
szab + ály,41
ság + a,41
ség + i,41
vezet + ő,41
ő + t,41
at + lan,40
ek + ben,40
el + em,40
el + ked,40
es + ít,40
i + ség,40
ol + t,40
ál + lap,40
é + ről,40
ít + ő,40
csol + at,39
el + t,39
ság + á,39
tud + om,39
ugy + an,39
alkalm + az,38
ed + mény,38
es + ek,38
gál + at,38
in + téz,38
ok + ban,38
ál + t,38
áll + ás,38
ás + ai,38
fej + leszt,37
gyer + mek,37
kép + es,37
ony + ít,37
os + ít,37
t + unk,37
vizs + gál,37
ó + i,37
ek + en,36
et + e,36
hat + ás,36
ig + az,36
já + nak,36
ver + seny,36
at + ot,35
csop + ort,35
el + ér,35
hiv + at,35
lát + ogat,35
og + at,35
szer + ez,35
t + ünk,35
tám + og,35
ut + as,35
vis + el,35
ak + at,34
határ + oz,34
já + n,34
jé + t,34
kül + ön,34
magy + ar,34
ül + és,34
at + a,33
at + os,33
ett + e,33
is + ta,33
oz + ni,33
szül + et,33
tet + és,33
ut + az,33
ár + ól,33
ás + ban,33
al + om,32
aszt + ás,32
elő + ad,32
jel + en,32
ked + és,32
min + isz,32
szav + az,32
szerv + ez,32
az + gat,31
ek + ed,31
et + el,31
et + es,31
ez + et,31
fel + ad,31
hely + zet,31
ir + ány,31
lép + és,31
meg + old,31
sas + ág,31
ság + i,31
tör + vény,31
vég + ez,31
ít + eni,31
at + ás,30
biztos + ít,30
foly + tat,30
gyak + or,30
hat + at,30
men + t,30
mény + ek,30
prog + ram,30
ren + del,30
szál + lít,30
tan + ács,30
ó + ság,30
at + i,29
ei + nek,29
kor + mány,29
nyil + ván,29
os + abb,29
tár + sas,29
ul + t,29
ás + sal,29
ad + at,28
be + mutat,28
egy + ez,28
forr + ás,28
het + et,28
ház + as,28
ika + i,28
jö + tt,28
kérd + és,28
