unit,count
t,4093
i,2263
ás,1816
et,1794
és,1557
ek,1523
el,1425
at,1348
meg,1282
ok,1236
a,1196
k,1162
ó,1112
é,1075
e,1055
ő,1046
es,1030
en,858
ni,850
á,814
ban,792
ít,734
ez,724
ott,706
ség,685
ki,682
os,682
fel,668
nak,660
nek,635
ik,619
be,612
ben,602
em,600
s,582
ja,581
an,522
re,518
on,517
ak,515
ad,512
ság,485
ett,462
ra,449
oz,435
szer,422
Ad,416
tA/,416
ot,415
ál,391
n,388
om,356
ül,355
al,347
le,347
ár,332
hat,331
er,330
ed,329
já,306
in,293
ei,287
ba,281
ol,279
or,279
is,266
ér,260
as,255
am,249
az,245
hely,244
ter,244
köz,239
ve,237
egy,231
het,229
leg,228
ai,223
unk,220
val,220
ű,219
ünk,211
us,207
ú,204
tel,202
ul,200
hoz,196
ék,194
vál,191
koz,187
kor,186
vel,184
lát,182
tör,181
ból,180
od,180
z,180
kép,178
tat,178
kap,177
rend,170
nál,167
ről,166
j]=té,165
át,164
tal,162
kel,161
va,160
kez,159
j]=tá,156
ír,156
tet,153
ják,152
áll,152
tan,151
tud,151
nap,150
len,148
ött,148
d,143
fej,143
je,143
kal,143
kész,142
ig,141
szak,141
tart,141
fog,140
ház,139
min,138
szem,138
él,137
ebb,135
it,135
rész,135
ből,132
ar,130
bb,129
szín,128
tér,128
ked,126
uk,126
mény,125
um,125
ani,124
hal,124
ról,124
ver,124
ány,124
ük,124
őd,123
men,122
vár,122
év,122
ön,122
tt,121
ért,121
tár,120
elő,119
te,119
abb,118
jel,118
ony,116
mond,115
nő,115
pont,115
ut,115
ény,115
tak,114
eni,112
juk,112
lak,111
nagy,111
mű,110
tek,109
aszt,106
hető,106
ély,106
ök,105
össze,105
asz,103
idő,103
kör,103
néz,103
állít,103
ép,103
fő,102
erő,100
foly,100
ható,100
jé,100
gál,99
vissza,99
hagy,98
ész,98
ismer,97
hez,96
ös,96
hasz,95
sor,95
eg,94
mag,93
vég,93
kod,92
m,92
vezet,92
világ,92
biz,91
élet,91
kezd,89
let,89
tá,89
vesz,89
lap,88
lép,88
nyom,88
talál,87
án,87
elm,86
sz,86
csol,85
dolg,84
jük,84
kon,84
nev,84
jár,83
ügy,83
for,81
isz,81
kar,81
szab,81
ta,81
jelen,80
test,80
ód,80
út,80
il,79
ként,79
lan,79
tam,79
tól,79
mutat,78
től,78
áb,78
ir,77
város,77
más,76
ten,76
hív,75
osz,75
szág,75
szám,75
ág,75
őr,75
föld,74
ker,74
szol,74
áció,74
aj,73
vény,73
jog,72
par,72
új,72
kis,71
köv,71
terv,71
tes,71
ur,69
zet,69
ember,68
kerül,68
dönt,67
esz,67
j,67
mány,67
og,67
tölt,67
ap,66
fél,66
kol,66
könyv,66
változ,66
határ,65
vány,65
lal,64
szül,64
tén,64
zár,64
öl,64
ag,63
iz,63
köt,63
kül,63
mód,63
műv,63
nép,63
szen,63
ály,63
beszél,62
don,62
j]=ot,62
mar,62
szív,62
tul,62
barát,60
jai,60
keres,60
mér,59
ren,59
vez,59
gal,58
gép,58
hang,58
ika,58
im,58
kér,58
ló,58
pár,58
sal,58
tar,58
